ts,equity,cash
2026-08-04T19:10:16,100000.0,100000.0
2026-08-05T13:30:43,100000.0,100000.0
2026-08-05T13:33:43,100000.0,100000.0
2026-08-05T13:36:43,100000.0,100000.0
2026-08-05T13:39:43,100000.0,100000.0
2026-08-05T13:42:44,100000.0,100000.0
2026-08-05T13:45:44,100000.0,100000.0
2026-08-05T13:48:44,100000.0,100000.0
2026-08-05T13:51:45,100000.0,100000.0
2026-08-05T13:54:45,100000.0,100000.0
2026-08-05T13:57:45,100000.0,100000.0
2026-08-05T14:00:45,100000.0,100000.0
2026-08-05T14:03:46,100000.0,100000.0
2026-08-05T14:06:46,100000.0,100000.0
2026-08-05T14:09:46,100000.0,100000.0
2026-08-05T14:12:47,100000.0,100000.0
2026-08-05T14:15:47,100000.0,100000.0
2026-08-05T14:18:47,100000.0,100000.0
2026-08-05T14:21:47,100000.0,100000.0
2026-08-05T14:24:48,100000.0,100000.0
2026-08-05T14:27:48,100000.0,100000.0
2026-08-05T14:30:48,100000.0,100000.0
2026-08-05T14:33:49,100000.0,100000.0
2026-08-05T14:36:49,100000.0,100000.0
2026-08-05T14:39:49,100000.0,100000.0
2026-08-05T14:42:49,100000.0,100000.0
2026-08-05T14:45:50,100000.0,100000.0
2026-08-05T14:48:50,100000.0,100000.0
2026-08-05T14:51:50,100000.0,100000.0
2026-08-05T14:54:51,100000.0,100000.0
2026-08-05T14:57:51,100000.0,100000.0
2026-08-05T15:00:51,100000.0,100000.0
2026-08-05T15:03:51,100000.0,100000.0
2026-08-05T15:06:52,100000.0,100000.0
2026-08-05T15:09:52,100000.0,100000.0
2026-08-05T15:12:52,100000.0,100000.0
2026-08-05T15:15:53,100000.0,100000.0
2026-08-05T15:18:53,100000.0,100000.0
2026-08-05T15:21:53,100000.0,100000.0
2026-08-05T15:24:53,100000.0,100000.0
2026-08-05T15:27:54,100000.0,100000.0
2026-08-05T15:30:54,100000.0,100000.0
2026-08-05T15:33:54,100000.0,100000.0
2026-08-05T15:36:55,100000.0,100000.0
2026-08-05T15:39:55,100000.0,100000.0
2026-08-05T15:42:55,100000.0,100000.0
2026-08-05T15:45:56,100000.0,100000.0
2026-08-05T15:48:56,100000.0,100000.0
2026-08-05T15:51:56,100000.0,100000.0
2026-08-05T15:54:56,100000.0,100000.0
2026-08-05T15:57:57,100000.0,100000.0
2026-08-05T16:00:57,100000.0,100000.0
2026-08-05T16:03:57,100000.0,100000.0
2026-08-05T16:06:58,100000.0,100000.0
2026-08-05T16:09:58,100000.0,100000.0
2026-08-05T16:12:58,100000.0,100000.0
2026-08-05T16:15:58,100000.0,100000.0
2026-08-05T16:18:59,100000.0,100000.0
2026-08-05T16:21:59,100000.0,100000.0
2026-08-05T16:24:59,100000.0,100000.0
2026-08-05T16:28:00,100000.0,100000.0
2026-08-05T16:31:00,100000.0,100000.0
2026-08-05T16:34:01,100000.0,100000.0
2026-08-05T16:37:01,100000.0,100000.0
2026-08-05T16:40:01,100000.0,100000.0
2026-08-05T16:43:02,100000.0,100000.0
2026-08-05T16:46:02,100000.0,100000.0
2026-08-05T16:49:02,100000.0,100000.0
2026-08-05T16:52:03,100000.0,100000.0
2026-08-05T16:55:03,100000.0,100000.0
2026-08-05T16:58:03,100000.0,100000.0
2026-08-05T17:01:04,100000.0,100000.0
2026-08-05T17:04:04,100000.0,100000.0
2026-08-05T17:07:04,100000.0,100000.0
2026-08-05T17:10:05,100000.0,100000.0
2026-08-05T17:13:05,100000.0,100000.0
2026-08-05T17:16:05,100000.0,100000.0
2026-08-05T17:19:06,100000.0,100000.0
2026-08-05T17:22:06,100000.0,100000.0
2026-08-05T17:25:06,100000.0,100000.0
2026-08-05T17:28:07,100000.0,100000.0
2026-08-05T17:31:07,100000.0,100000.0
2026-08-05T17:34:07,100000.0,100000.0
2026-08-05T17:37:07,100000.0,100000.0
2026-08-05T17:40:08,100000.0,100000.0
2026-08-05T17:43:08,100000.0,100000.0
2026-08-05T17:46:08,100000.0,100000.0
2026-08-05T17:49:09,100000.0,100000.0
2026-08-05T17:52:09,100000.0,100000.0
2026-08-05T17:55:09,100000.0,100000.0
2026-08-05T17:58:10,100000.0,100000.0
2026-08-05T18:01:10,100000.0,100000.0
2026-08-05T18:04:10,100000.0,100000.0
2026-08-05T18:07:11,100000.0,100000.0
2026-08-05T18:10:11,100000.0,100000.0
2026-08-05T18:13:11,100000.0,100000.0
2026-08-05T18:16:12,100000.0,100000.0
2026-08-05T18:19:12,100000.0,100000.0
2026-08-05T18:22:12,100000.0,100000.0
2026-08-05T18:25:13,100000.0,100000.0
2026-08-05T18:28:13,100000.0,100000.0
2026-08-05T18:31:13,100000.0,100000.0
2026-08-05T18:34:14,100000.0,100000.0
2026-08-05T18:37:14,100000.0,100000.0
2026-08-05T18:40:14,100000.0,100000.0
2026-08-05T18:43:14,100000.0,100000.0
2026-08-05T18:46:15,100000.0,100000.0
2026-08-05T18:49:15,100000.0,100000.0
2026-08-05T18:52:15,100000.0,100000.0
2026-08-05T18:55:16,100000.0,100000.0
2026-08-05T18:58:16,100000.0,100000.0
2026-08-05T19:01:16,100000.0,100000.0
2026-08-05T19:04:17,100000.0,100000.0
2026-08-05T19:07:17,100000.0,100000.0
2026-08-05T19:10:17,100000.0,100000.0
2026-08-05T19:13:18,100000.0,100000.0
2026-08-05T19:16:18,100000.0,100000.0
2026-08-05T19:19:18,100000.0,100000.0
2026-08-05T19:22:19,100000.0,100000.0
2026-08-05T19:25:19,100000.0,100000.0
2026-08-05T19:28:19,100000.0,100000.0
2026-08-05T19:31:20,100000.0,100000.0
2026-08-05T19:34:20,100000.0,100000.0
2026-08-05T19:37:20,100000.0,100000.0
2026-08-05T19:40:21,100000.0,100000.0
2026-08-05T19:43:21,100000.0,100000.0
2026-08-05T19:46:21,100000.0,100000.0
2026-08-05T19:49:21,100000.0,100000.0
2026-08-05T19:52:22,100000.0,100000.0
2026-08-05T19:55:22,100000.0,100000.0
2026-08-05T19:58:22,100000.0,100000.0
2026-08-06T13:30:57,100000.0,100000.0
2026-08-06T13:33:58,100002.2,89417.62
2026-08-06T13:36:59,99942.83,75630.66
2026-08-06T13:40:01,99926.63,80619.36
2026-08-06T13:43:01,99890.21,71055.83
2026-08-06T13:46:02,99907.58,71055.83
2026-08-06T13:49:04,99963.73,75982.16
2026-08-06T13:52:04,99921.33,71091.87
2026-08-06T13:55:05,99867.86,71091.87
2026-08-06T13:58:06,99890.69,75902.93
2026-08-06T14:01:07,99900.12,71021.89
2026-08-06T14:04:08,99864.04,71021.89
2026-08-06T14:07:08,99980.37,71021.89
2026-08-06T14:10:10,99999.76,76010.63
2026-08-06T14:13:12,100000.65,75950.85
